palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
coger,🍆😳,Doble sentido ⚠️,tomar / agarrar,tener sexo (vulgar) ⚠️,tomar / agarrar,tomar / agarrar,tomar / agarrar,tener sexo (vulgar) ⚠️,tomar / agarrar,tomar / agarrar,tomar / agarrar,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tomar / agarrar,tener sexo (vulgar) ⚠️,tomar / agarrar,tomar / agarrar,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tomar / agarrar
concha,🐚🙈,Doble sentido ⚠️,caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,caparazón de mar / pan dulce (MX)
verga,🍆🔥,Doble sentido ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,"muletilla / 'a la verga' (sorpresa, enojo)",'estar verga' = estar bien/borracho,'estar verga' = estar bien/borracho,"muletilla / 'a la verga' (sorpresa, enojo)",genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,"muletilla / 'a la verga' (sorpresa, enojo)",genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️
pija,💅😏,Doble sentido ⚠️,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,persona fresa / snob,persona fresa / snob
bicho,🐛😏,Doble sentido ⚠️,persona astuta/mala,insecto / animalito,insecto / animalito,niño/chico,niño/chico,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,genital masculino (vulgar) ⚠️,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito
papaya,🟠🙊,Doble sentido ⚠️,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,genital femenino (vulgar) ⚠️,fruta,fruta,algo fácil,'dar papaya' = exponerse al peligro,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta
chucha,😬🙊,Doble sentido ⚠️,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,mal olor / axila,interjección de fastidio/frío,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,perro,genital femenino (vulgar) ⚠️,interjección de fastidio/frío
cuca,🍪😶,Doble sentido ⚠️,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,genital femenino (vulgar) ⚠️,galleta / dulce,galleta / dulce,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,bicicleta / energía,galleta / dulce,galleta / dulce
pendejo,🤦,Insulto / persona,vello púbico (literal) ⚠️,vello púbico (literal) ⚠️,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,cobarde,cobarde,tonto / idiota,persona astuta/vivo,tonto / idiota,tonto / idiota,niño / joven,niño / joven,tonto / idiota,tonto / idiota
huevón,🥚😴,Insulto / persona,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,'güevón' = tonto cariñoso,tonto,tonto,tonto,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,amigo / 'weón' (muletilla),flojo / perezoso
boludo,🤙😜,Amigo / persona,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,tonto,'che boludo' = amigo (muletilla),'che boludo' = amigo (muletilla),tonto,tonto
pana,🤝,Amigo / persona,tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),amigo / compa,amigo / compa,amigo / compa,amigo / compa,tela de pana (textil),amigo / compa,amigo / compa,tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil),tela de pana (textil)
parce,🤝,Amigo / persona,amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo / parcero,amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero'),amigo (de 'parcero')
causa,🤝🥔,Amigo / persona,plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),amigo / pata,plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía),plato de papa (gastronomía)
pata,🦵🤝,Amigo / persona,'buena/mala pata' = suerte,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,amigo,pata / pierna de animal,pata / pierna de animal,pata / pierna de animal,'buena/mala pata' = suerte,pata / pierna de animal,pata / pierna de animal
mae,🤙,Amigo / persona,amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),'maje' = amigo o tonto,'maje' = amigo o tonto,'maje' = amigo o tonto,amigo / tipo,amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla)
chamo,🧑,Amigo / persona,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven
pibe,🧑,Amigo / persona,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven,chico / joven
chavo,🧒,Amigo / persona,'chaval' = chico,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,'chavalo' = chico,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho,chico / muchacho
güey,🤙,Amigo / persona,amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla),amigo / tipo (muletilla)
guagua,🚌👶,Objeto / varios,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,bebé,bebé,bebé,autobús,autobús,autobús,bebé,autobús
torta,🎂🥪,Comida,'qué torta' = problema/lío,sándwich en pan (telera/bolillo),pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,pastel,bofetada / golpe,pastel,pastel
fresa,🍓💅,Comida / persona,fruta,persona snob / fifí,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta
frutilla,🍓,Comida,fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta),fresa (la fruta)
palta,🥑,Comida,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,'hacer la palta' = pasar vergüenza,aguacate
aguacate,🥑,Comida,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate,aguacate
banana,🍌,Comida,'plátano','plátano',plátano / banana,plátano / banana,'guineo','guineo',plátano / banana,plátano / banana,plátano / banana,'guineo','guineo','banano','cambur','guineo','plátano',plátano / banana,'banana','banana','banana','banana',plátano / banana
choclo,🌽,Comida,mazorca de maíz,'elote','elote','elote','elote','elote',mazorca de maíz,mazorca de maíz,mazorca de maíz,mazorca de maíz,mazorca de maíz,'choclo','jojoto','choclo','choclo','choclo','choclo','choclo','choclo','choclo',mazorca de maíz
palomitas,🍿,Comida,'palomitas','palomitas','pop / poporopo',palomitas de maíz,palomitas de maíz,palomitas de maíz,palomitas de maíz,palomitas de maíz,palomitas de maíz,palomitas de maíz,palomitas de maíz,'crispetas','cotufas',palomitas de maíz,'canchita',palomitas de maíz,palomitas de maíz,palomitas de maíz,'pochoclo / pururú','cabritas',palomitas de maíz
frijol,🫘,Comida,'judía / alubia','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','frijol / frejol','caraota' (negro),'frijol / frejol','frijol / frejol','frijol / frejol','poroto','poroto','poroto','poroto',frijol / alubia
jugo,🧃,Comida,'zumo',jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta,jugo de fruta
popote,🥤,Objeto,'pajita','popote',popote / sorbete,popote / sorbete,popote / sorbete,popote / sorbete,popote / sorbete,'carrizo',popote / sorbete,'sorbete','sorbete','pitillo','carrizo',popote / sorbete,'cañita / sorbete',popote / sorbete,popote / sorbete,'sorbete','sorbete','bombilla',popote / sorbete
cerveza,🍺,Comida,'caña' (de barril),'chela','chela',cerveza,cerveza,cerveza,cerveza,cerveza,cerveza,cerveza,cerveza,'pola','fría / curda',cerveza,cerveza,'chela',cerveza,'birra','birra',cerveza,cerveza
cruda,🤢,Estado,'resaca','cruda',resaca (malestar tras beber),resaca (malestar tras beber),resaca (malestar tras beber),resaca (malestar tras beber),'caña' / 'goma',resaca (malestar tras beber),resaca (malestar tras beber),resaca (malestar tras beber),resaca (malestar tras beber),'guayabo','ratón','chuchaqui',resaca (malestar tras beber),'caña',resaca (malestar tras beber),'resaca','resaca',resaca (malestar tras beber),resaca (malestar tras beber)
fiesta,🥳,Estado,fiesta / celebración,'pachanga / reventón',fiesta / celebración,fiesta / celebración,fiesta / celebración,fiesta / celebración,fiesta / celebración,fiesta / celebración,fiesta / celebración,'parranda','parranda','rumba','guachafita / bonche','farra','farra',fiesta / celebración,'farra',fiesta / celebración,'joda / previa','carrete',fiesta / celebración
policía,👮,Jerga / varios,policía,'jara',policía,'chota',policía,policía,policía,'tira',policía,policía,policía,'tombo','pitufo / musiú',policía,'tombo',policía,policía,policía,'cana / yuta / rati','paco',policía
ladrón,🦹,Jerga / varios,'caco','ratero',ladrón,ladrón,ladrón,ladrón,ladrón,ladrón,ladrón,ladrón,ladrón,'pillo / ñero','malandro',ladrón,'choro',ladrón,ladrón,ladrón,'chorro','choro / lanza',ladrón
dinero,💰,Dinero,'cuartos','lana / varo / feria','pisto','pisto','pisto',dinero,dinero,dinero,dinero,dinero,'real / chavos','plata','real / chavos','plata','plata','plata',dinero,'plata','guita / mango / luca','plata',dinero
genial,😎,Cualidad,'guay','chido / padre','calidá',genial / muy bueno,genial / muy bueno,genial / muy bueno,'tuanis / pura vida','chévere','chévere','chévere',genial / muy bueno,'chimba','fino','chévere','bacán / bacano',genial / muy bueno,genial / muy bueno,genial / muy bueno,'joya / bárbaro / copado','pulenta / la raja',genial / muy bueno
trabajo,💼,Dinero,'curro','chamba','chamba','chamba','chamba','chamba',trabajo / empleo,trabajo / empleo,trabajo / empleo,trabajo / empleo,trabajo / empleo,'camello',trabajo / empleo,'chamba','chamba',trabajo / empleo,trabajo / empleo,'laburo','laburo','pega',trabajo / empleo
vaina,🤷,Comodín,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto (comodín),cosa / asunto (comodín),cosa / asunto,'qué vaina' = qué problema/lástima,cosa / asunto,cosa / asunto (comodín),'qué vaina' = qué problema/lástima,cosa / asunto (comodín),cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto,cosa / asunto
chivo,🐐,Doble sentido,cabra macho,cabra macho,cabra macho,genial / cool,soborno / 'hacer chivo',cabra macho,apestoso (olor a sudor),cabra macho,cabra macho,inquieto / nervioso,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho,cabra macho
sapo,🐸👀,Jerga / varios,rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),chismoso / soplón,'echar el sapo' = delatar,chismoso / soplón,rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),rana / sapo (animal),chismoso / soplón,rana / sapo (animal)
mango,🥭😍,Doble sentido,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,persona muy atractiva 😍,fruta,fruta,persona muy atractiva 😍,fruta,fruta,fruta,fruta,persona muy atractiva 😍,'un mango' = dinero,fruta,fruta
piña,🍍👊,Doble sentido,fruta (ananá),puñetazo / golpe,fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),fruta (ananá),mala suerte / 'estar en la piña',fruta (ananá),fruta (ananá),fruta (ananá),'ananá',puñetazo / golpe,'ananá',fruta (ananá),fruta (ananá)
papa,🥔,Doble sentido,'patata',papa / patata,papa / patata,papa / patata,papa / patata,papa / patata,papa / patata,papa / patata,papa / patata,papa / patata,papa / patata,algo muy fácil ('es papa'),algo muy fácil ('es papa'),mentira ('pura papa'),papa / patata,papa / patata,papa / patata,papa / patata,algo muy fácil ('es papa'),papa / patata,papa / patata
mono,🐒,Doble sentido,'estar mono' = lindo,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,persona rubia,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono,simio / mono
rubio,👱,Persona / apariencia,persona rubia,'güero','canche','chivo','chele','chele',persona rubia,persona rubia,persona rubia,persona rubia,persona rubia,'mono','catire','macho',persona rubia,persona rubia,persona rubia,persona rubia,'flaco/rubio',persona rubia,persona rubia
morocho,🧑,Persona / apariencia,"de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno","de pelo/piel oscura, moreno",mellizo / gemelo,tipo de maíz,tipo de maíz,"de pelo/piel oscura, moreno","de pelo/piel oscura, moreno",moreno / pelo negro,moreno / pelo negro,"de pelo/piel oscura, moreno","de pelo/piel oscura, moreno"
gordo,🥰,Persona / trato,premio mayor de lotería ('el gordo'),persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,persona con sobrepeso,apodo cariñoso ('gordi'),apodo cariñoso ('gordi'),persona con sobrepeso,persona con sobrepeso
chimba,🔥,Cualidad ⚠️,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial ('¡qué chimba!'),genial / lo máximo,genital femenino / negativo ⚠️ (cuidado),genital femenino / negativo ⚠️ (cuidado),genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo,genial / lo máximo
fome,🥱,Cualidad,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido / sin gracia,aburrido,aburrido / sin gracia
chafa,👎,Cualidad,de mala calidad / corriente,de mala calidad,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente,de mala calidad / corriente
trucho,❌,Cualidad,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / pirata,falso / trucho,falso / trucho,falso / pirata,falso / pirata
antro,🪩,Lugar,lugar de mala muerte / tugurio,discoteca / bar de moda,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,lugar de mala muerte / tugurio,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,discoteca / bar,lugar de mala muerte / tugurio,discoteca / bar,discoteca / bar
